County,Mean_Offense,Median_Offense,Variance_Offense,Offense_Std. Dev.,Rank,Name,Named For,Variance_percent,LIndex
Lubbock,70.7207062600321,72.0,613.3398760277258,24.76569958688278,152,Lubbock,Thomas S. Lubbock (1817-62),0.23807864163266318,5
Lynn,2.090909090909091,2.0,0.4909090909090909,0.7006490497453707,153,Lynn,William Linn (?-1836),0.00019055498280284427,5
McCulloch,16.11864406779661,6.0,164.3822326125073,12.82116346563397,154,McCulloch,Benjamin McCulloch (1811-62),0.06380784973967855,5
McLennan,109.79098360655738,103.0,1804.030113493066,42.473875658963195,155,McLennan,Neil McLennan (1777?-1867),0.7002659629217274,5
McMullen,1.0,1.0,0.0,0.0,156,McMullen,John McMullen (1785-1853),0.0,5
Madison,8.5625,9.0,20.770161290322577,4.557429241395041,157,Madison,James Madison (1751-1836),0.0080623027782198,5
Marion,4.75,5.0,5.225806451612903,2.286002286003429,158,Marion,Francis Marion (1732-95),0.0020284885266109226,5
Martin,3.0,3.0,1.1428571428571428,1.0690449676496976,159,Martin,Wylie Martin (1776-1842),0.0004436200657843993,5
Mason,3.3333333333333335,4.0,0.9696969696969696,0.9847319278346618,160,Mason,the county seat,0.00037640490430191454,5
Matagorda,13.575757575757576,14.5,20.67360629192692,4.546823758617318,161,Matagorda,the once-indigenous canebrakes,0.008024823260322219,5
Maverick,5.3478260869565215,4.0,9.328063241106717,3.054187820207971,162,Maverick,Samuel Maverick (1803-70),0.0036208515250781993,5
Medina,6.235294117647059,5.0,12.24598930481283,3.4994269966399973,163,Medina,the Medina River,0.004753495758371604,5
Menard,2.5,3.0,1.0,1.0,164,Menard,Michael B. Menard (1805-56),0.00038816755756134944,5
Midland,65.25337837837837,76.0,525.1032034572639,22.915130448183444,165,Midland,the county seat,0.20382802795364646,5
Milam,14.97037037037037,15.0,23.596130458817036,4.857584838046273,166,Milam,Ben Milam (1788-1835),0.009159252328097972,5
Mills,8.444444444444445,12.0,26.849673202614376,5.18166702930769,167,Mills,John T. Mills (1817-71),0.010422172068379237,5
